ts_code,trade_date,open,high,close,low,vol
513130.SH,20220126,0.678,0.689,0.682,0.672,3018395.97
513130.SH,20220127,0.667,0.672,0.656,0.654,4339898.03
513130.SH,20220128,0.66,0.662,0.653,0.643,4105094
513130.SH,20220207,0.68,0.682,0.673,0.667,2972020
513130.SH,20220208,0.669,0.672,0.668,0.661,2202540.23
513130.SH,20220209,0.68,0.691,0.689,0.679,2860757.25
513130.SH,20220210,0.698,0.7,0.69,0.683,2239534.91
513130.SH,20220211,0.683,0.692,0.682,0.679,2303135.88
513130.SH,20220214,0.674,0.678,0.675,0.669,1824292
513130.SH,20220215,0.671,0.68,0.672,0.67,2539744
513130.SH,20220216,0.684,0.687,0.681,0.68,2750581
513130.SH,20220217,0.682,0.691,0.685,0.68,2660369
513130.SH,20220218,0.681,0.69,0.677,0.676,2660616
513130.SH,20220221,0.66,0.665,0.656,0.653,4570819
513130.SH,20220222,0.638,0.646,0.636,0.632,5678874
513130.SH,20220223,0.638,0.648,0.647,0.635,3826692
513130.SH,20220224,0.634,0.636,0.624,0.614,7713882
513130.SH,20220225,0.631,0.635,0.623,0.622,5181490.38
513130.SH,20220228,0.624,0.626,0.617,0.612,4388434.62
513130.SH,20220301,0.622,0.629,0.629,0.62,3941116
513130.SH,20220302,0.624,0.627,0.613,0.613,5749967
513130.SH,20220303,0.615,0.616,0.603,0.601,5178632
513130.SH,20220304,0.581,0.585,0.577,0.576,6774413
513130.SH,20220307,0.556,0.562,0.556,0.546,6645648
513130.SH,20220308,0.553,0.558,0.535,0.532,9109019.41
513130.SH,20220309,0.54,0.544,0.53,0.515,10355374
513130.SH,20220310,0.549,0.554,0.537,0.534,10753654
513130.SH,20220311,0.506,0.518,0.517,0.495,20910278.64
513130.SH,20220314,0.497,0.499,0.474,0.473,22267583
513130.SH,20220315,0.445,0.473,0.431,0.427,43436281
513130.SH,20220316,0.45,0.474,0.474,0.442,23069397
513130.SH,20220317,0.521,0.521,0.521,0.521,1538072
513130.SH,20220318,0.521,0.554,0.548,0.516,33844228.1
513130.SH,20220321,0.563,0.566,0.541,0.536,15620034.59
513130.SH,20220322,0.541,0.559,0.554,0.539,10064667
513130.SH,20220323,0.575,0.595,0.582,0.572,14631809.92
513130.SH,20220324,0.572,0.581,0.567,0.566,7989116
